rno	uno	sno	carno	seat
89	21	3075	4	D08
90	32	1993	3	D04
91	10	3222	2	B01
92	74	4090	4	C09
93	95	4512	4	B07
94	7	4389	4	D02
95	16	3761	5	A03
96	79	4925	4	B03
97	16	3437	3	B09
98	25	3436	3	D03
99	52	269	5	A09
100	2	1226	4	D03
101	94	113	5	B04
102	76	1633	5	B04
103	96	2007	4	A08
104	73	2368	5	D04
105	35	1765	5	A10
106	51	73	1	A10
107	51	455	4	B04
108	79	3183	1	D09
109	3	2402	3	C01
110	58	524	4	A03
111	98	217	1	D03
112	93	3802	5	C08
113	71	3865	5	D04
114	56	1677	3	C10
115	40	3066	2	C03
116	70	2059	4	C10
117	99	4352	4	B04
118	87	4316	5	D10
119	72	2018	5	A06
120	58	890	3	D02
121	24	2863	4	B08
122	60	1387	5	C05
123	5	3214	1	A09
124	29	2717	4	B07
125	32	4959	2	A01
126	86	828	2	B03
127	64	4609	2	B02
128	42	827	1	C01
129	5	3148	5	D07
130	39	1802	2	D02
131	8	3372	5	C10
132	15	3684	1	D01
133	16	2121	3	B07
134	34	4602	4	B08
135	13	4725	1	B05
136	32	923	1	D05
137	14	4417	5	B05
138	95	559	1	D03
139	100	1026	1	A02
140	43	3161	5	C09
141	12	1386	5	A04
142	76	1502	3	A02
143	12	1002	1	D03
144	4	3163	3	C06
145	96	4935	4	B08
146	20	229	4	B04
147	68	4041	2	B09
148	94	2230	4	D01
149	94	1081	5	A10
150	53	3965	1	D06
151	12	3402	1	C04
152	54	1326	3	D02
153	22	4103	5	B07
154	3	3186	4	C01
155	22	1351	4	D09
156	95	4867	5	D08
157	100	3761	5	B05
158	10	3019	3	A10
159	84	2860	3	A03
160	87	759	3	B01
161	59	1398	1	D07
162	90	4669	5	A10
163	87	4965	3	A01
164	31	4473	4	B01
165	91	1902	3	A10
166	23	3243	5	A07
167	43	2507	3	B08
168	49	4569	5	C02
169	67	666	4	B05
170	76	2087	4	D04
171	42	1645	2	A09
172	2	1265	5	A02
173	63	550	1	A08
174	39	1471	5	B06
175	67	3208	3	C07
176	37	3456	5	D10
177	39	2328	3	A05
178	20	3241	5	C05
179	82	4436	4	A01
180	3	826	3	C04
181	42	837	5	B06
182	87	2003	1	B08
183	99	2288	1	B05
184	38	4496	2	A05
185	34	2698	1	C03
186	93	304	5	D07
187	32	432	3	B08
188	3	4740	1	A01
189	40	3450	2	D03
190	19	4722	1	B10
191	24	3680	1	A04
192	98	4541	1	C08
193	52	304	4	A08
194	56	4492	1	C01
195	20	4211	2	C06
196	90	4023	1	B04
197	4	1183	3	C10
198	37	887	3	B03
199	38	2692	4	C01
200	25	2726	3	D02
201	91	2935	3	D03
202	49	1618	2	B10
203	12	249	5	D07
204	11	2223	1	C03
205	63	1132	1	C09
206	39	530	2	D03
207	73	936	5	C06
208	6	3249	4	C02
209	39	3225	4	B04
210	34	3893	1	A07
211	52	2232	5	D02
212	9	4637	2	C01
213	1	660	2	A09
214	74	1954	1	A02
215	84	3219	3	C05
216	64	2780	3	D04
217	38	4920	4	D10
218	25	2831	4	A05
219	94	253	3	C07
220	73	1810	2	C02
221	71	2266	2	A10
222	38	3379	1	A10
223	44	2786	3	A07
224	1	4239	1	B05
225	59	2773	3	A01
226	51	4017	1	C09
227	96	1728	1	A06
228	30	4868	4	B09
229	22	512	1	A04
230	60	2724	3	A04
231	88	2292	3	B10
232	34	2242	1	D08
233	94	2028	4	D09
234	63	4680	5	D09
235	97	4470	2	A04
236	26	2182	1	B10
237	21	565	2	A06
238	82	754	4	D08
239	67	3110	2	D02
240	75	4286	3	B07
241	49	347	5	B10
242	15	4899	1	C07
243	61	321	5	D05
244	63	4119	3	D06
245	89	4723	2	B06
246	54	4446	4	C04
247	34	4886	3	C03
248	45	3632	5	C04
249	71	1631	4	C08
250	84	1117	1	D10
251	72	1491	3	B07
252	9	2450	5	D10
253	99	2593	2	D10
254	92	1997	2	A04
255	72	2497	2	C08
256	9	1840	4	B04
257	11	459	2	D01
258	35	2472	2	C03
259	12	4579	3	B03
260	66	673	2	C03
261	65	2295	2	C05
262	10	924	2	B02
263	90	1563	3	A03
264	37	3254	5	B08
265	21	1764	2	C09
266	31	3305	3	C06
267	46	2714	2	B06
268	69	818	2	B01
269	98	3503	1	D09
270	27	2289	3	C10
271	87	820	1	C09
272	12	3000	2	C03
273	8	4947	5	D08
274	57	3227	1	D05
275	10	264	4	C07
276	89	552	5	C07
277	18	4358	1	A05
278	43	3342	5	D08
279	36	3056	2	D08
280	80	2693	4	B08
281	71	4083	4	D09
282	30	3382	5	B10
283	3	7	5	B05
284	82	1903	3	A06
285	37	3503	1	A02
286	70	4434	3	B08
287	29	1143	5	C08
288	19	1479	5	B02
289	10	3458	5	A01
290	79	747	2	A09
291	19	43	5	B05
292	79	4158	2	A08
293	71	3060	1	B08
294	31	3625	2	A09
295	73	941	2	C04
296	68	2337	3	C03
297	86	2453	1	C05
298	97	1561	4	A10
299	26	398	1	A08
300	61	786	3	D08
301	12	1077	4	C03
302	37	4570	5	A05
303	42	126	1	D03
304	18	4714	1	B06
305	9	1674	1	D01
306	57	1996	3	C07
307	75	1363	3	C01
308	26	4627	1	D05
309	23	4411	5	A02
310	80	4211	2	A01
311	89	54	2	D09
312	16	1325	4	D05
313	46	2239	4	C05
314	80	4238	1	C03
315	71	2098	5	B10
316	67	906	3	C02
317	5	2994	5	C05
318	8	2854	3	B04
319	12	4579	4	B03
320	4	3411	5	C07
321	39	1738	4	B03
322	7	4699	3	B10
323	62	2730	3	C09
324	29	3518	3	A07
325	90	927	3	B01
326	57	343	5	C01
327	64	2589	3	D01
328	32	2648	2	C01
329	87	4775	3	B02
330	57	1070	4	D01
331	62	679	3	C01
332	81	1963	1	C03
333	31	1849	3	B05
334	5	227	5	B10
335	41	2914	3	A01
336	67	450	3	C02
337	62	1337	5	A04
338	98	4613	3	B02
339	85	1172	3	B10
340	1	4308	1	A08
341	2	4488	2	C06
342	8	655	2	A04
343	27	2973	5	B05
344	28	3518	2	A03
345	44	594	1	A06
346	13	4165	5	C05
347	45	2048	3	D06
348	61	4594	4	D10
349	81	4115	4	D01
350	60	2024	4	C07
351	98	1188	1	C08
352	56	594	4	D05
353	70	2499	4	A09
354	21	963	4	D02
355	74	4547	2	B01
356	2	2842	1	B07
357	96	844	4	B09
358	29	2798	2	B08
359	35	189	4	A07
360	71	3864	5	D01
361	53	944	4	B06
362	13	962	4	B10
363	18	2273	3	B03
364	35	2011	3	C08
365	48	3639	1	C07
366	2	418	4	D01
367	7	2723	3	C04
368	55	2187	3	C01
369	85	3391	5	B05
370	84	131	3	A02
371	26	3673	2	B09
372	96	2808	3	B10
373	53	4918	4	C07
374	66	2737	1	A07
375	31	2028	2	B08
376	56	3461	1	C06
377	65	1991	4	C10
378	55	1479	3	D03
379	32	243	5	A07
380	10	758	4	B08
381	99	993	5	B05
382	78	276	2	C01
383	72	1183	4	A08
384	35	772	3	C02
385	42	2545	3	A02
386	88	818	4	B01
387	88	262	5	B04
388	6	4610	5	C05
389	100	4687	5	B02
390	69	2138	4	B01
391	29	3358	1	C03
392	8	2595	1	A10
393	10	66	3	B02
394	13	2312	1	B10
395	74	2252	5	C05
396	75	167	5	D09
397	99	3408	3	B06
398	84	994	3	A02
399	28	600	3	C02
400	44	3969	3	D07
401	82	1813	4	B10
402	77	2394	3	D10
403	78	4468	2	C02
404	82	1053	1	D03
405	23	1687	2	B07
406	60	1138	1	A05
407	71	3676	2	C05
408	83	3466	1	D07
409	30	614	2	A10
410	46	2428	2	B04
411	81	216	3	B03
412	43	3496	3	A10
413	46	4258	5	A07
414	8	2455	4	B09
415	31	664	2	C08
416	55	1353	5	B08
417	7	3760	1	B06
418	87	523	4	A07
419	79	2047	3	B04
420	87	750	3	B03
421	78	2692	3	B08
422	39	4002	3	D02
423	67	3407	2	A03
424	1	2442	1	A04
425	11	1258	3	B07
426	5	392	5	A07
427	17	1177	3	C10
428	95	1453	4	B03
429	81	3399	2	B07
430	56	1280	3	C05
431	20	1223	3	C06
432	17	1546	1	D05
433	54	1586	1	C06
434	13	232	1	D05
435	45	1840	2	D05
436	15	3554	1	B06
437	45	3132	2	B08
438	100	4951	3	C09
439	28	3559	1	D10
440	51	319	5	C08
441	12	4561	1	C08
442	23	3537	2	B10
443	62	1588	4	A02
444	62	3060	5	C08
445	83	2845	2	C01
446	79	1468	5	B06
447	71	2323	5	B09
448	21	2864	2	B02
449	42	1607	3	B10
450	43	2241	4	D02
451	77	1423	4	D05
452	69	2867	2	C03
453	87	3167	4	C10
454	93	1647	3	B03
455	25	2900	5	A05
456	72	2328	1	D10
457	59	1255	2	A07
458	74	3868	4	C01
459	67	765	1	C09
460	18	2239	1	D10
461	8	704	2	B05
462	51	3386	1	D02
463	39	4436	1	A05
464	8	867	3	A09
465	74	2856	4	B10
466	55	2996	3	A07
467	61	4737	4	A04
468	80	661	4	B05
469	62	3128	1	A08
470	4	3377	2	C07
471	8	254	2	A04
472	81	2614	1	B04
473	76	1226	4	C03
474	78	1343	4	C10
475	74	4887	5	C01
476	41	387	4	B04
477	71	2320	5	D05
478	50	2768	4	D03
479	88	2019	4	C04
480	41	3549	3	B02
481	94	138	5	C01
482	33	544	5	B04
483	27	4413	5	C07
484	94	4561	4	B08
485	83	101	1	C09
486	47	1556	5	A09
487	35	2751	2	A08
488	81	1594	1	D03
489	12	3352	3	D03
490	31	1577	5	A03
491	78	1081	1	B05
492	97	517	5	C07
493	33	2524	5	C05
494	46	1650	3	A10
495	44	4649	1	B04
496	97	4004	3	A02
497	40	4792	3	C07
498	46	3292	3	B01
499	99	3524	3	A09
500	17	2415	1	A02
501	94	3794	1	C10
502	51	1904	3	D04
503	84	3942	1	C01
504	20	783	3	C01
505	96	2619	2	B05
506	28	525	2	C01
507	95	164	5	C09
508	16	1649	2	B01
509	25	626	4	D02
510	72	146	1	D09
511	44	2084	1	B08
512	51	3329	4	B02
513	42	2937	2	C01
514	7	956	3	A03
515	76	4139	2	B10
516	3	4613	3	D02
517	50	4747	1	B10
518	37	1302	5	A06
519	68	2871	2	D06
520	74	1938	1	D09
521	51	1271	2	A10
522	6	796	5	A06
523	54	4536	3	C09
524	66	4893	5	A03
525	19	3414	2	C02
526	10	2429	4	D07
527	89	1886	4	A07
528	49	42	4	D01
529	71	586	3	B07
530	92	4654	5	A01
531	45	4036	3	A05
532	68	3352	2	D09
533	8	263	4	C07
534	94	242	3	A10
535	34	2922	3	D01
536	66	2760	4	D04
537	80	250	5	C08
538	45	542	5	A07
539	88	3329	1	A07
540	22	4836	4	A07
541	54	2188	4	A06
542	27	2179	5	B06
543	21	3492	1	B05
544	84	3101	4	D10
545	51	4240	4	B06
546	1	231	4	C04
547	54	1401	1	C10
548	23	3585	4	A09
549	57	1225	4	A01
550	48	3742	4	C05
551	31	4545	3	D03
552	93	420	1	D07
553	43	1033	4	D07
554	56	4334	2	A10
555	42	4428	1	A02
556	39	4578	1	A05
557	8	1351	5	D07
558	95	1983	4	C10
559	45	2573	5	D08
560	41	3433	3	C01
561	79	2021	3	D10
562	5	3576	3	C07
563	6	2098	4	C02
564	59	2616	1	A09
565	29	2884	5	C01
566	98	3920	2	A01
567	82	1441	5	B10
568	17	2736	4	B08
569	89	4540	4	B05
570	31	4455	1	D09
571	83	1616	4	A01
572	5	4108	2	C07
573	63	3896	4	C03
574	36	2773	4	D04
575	9	1821	3	D01
576	98	972	1	B04
577	43	1896	5	A07
578	84	3937	1	D09
579	81	2675	1	D04
580	70	3378	2	B07
581	34	1895	5	C07
582	9	4934	2	B01
583	43	510	5	A08
584	55	484	3	D10
585	55	2021	1	A01
586	44	2895	4	D07
587	21	2472	3	D06
588	89	788	3	D03
589	16	4139	4	B01
590	97	3091	3	B07
591	100	2190	4	B08
592	3	216	1	A09
593	39	2901	4	A04
594	2	3506	1	B03
595	51	17	5	E07
596	73	280	2	E10
597	14	4612	2	B09
598	80	1633	5	D09
599	81	834	2	B01
600	29	3665	4	D04
601	4	1839	5	D06
602	92	1443	3	B08
603	93	4152	3	E10
604	21	2096	5	D05
605	3	2645	1	B09
606	48	2015	1	D04
607	66	2959	1	D08
608	75	4114	4	A07
609	91	624	1	B07
610	16	2866	2	B05
611	18	52	3	A05
612	53	3958	5	A02
613	92	1147	3	A03
614	73	2457	5	A05
615	46	976	3	A09
616	90	4452	3	E09
617	36	275	3	A01
618	79	4988	3	A06
619	81	2686	1	D04
620	41	2737	4	A09
621	29	1920	3	A05
622	61	461	3	A07
623	19	1078	2	E06
624	5	2725	1	D04
625	69	4822	3	D08
626	40	1023	5	A07
627	40	3806	4	A05
628	10	2594	2	A07
629	76	2650	2	E02
630	27	4806	5	E04
631	15	4352	5	E08
632	12	4126	2	D09
633	94	2928	2	A04
634	10	4469	5	E04
635	17	71	5	E03
636	66	212	4	A01
637	91	3055	4	D07
638	65	2829	2	E08
639	80	1108	2	A01
640	100	3533	4	E01
641	84	844	1	A06
642	62	3828	2	D10
643	90	397	3	E05
644	84	2057	2	E01
645	23	1933	2	B04
646	44	1910	4	B10
647	41	2105	4	B01
648	68	2628	3	D03
649	36	4362	4	A02
650	72	4676	3	E08
651	58	2249	5	E07
652	21	4571	2	B06
653	75	2553	5	E03
654	5	2954	4	A05
655	92	1343	5	A01
656	70	683	1	E09
657	59	2149	2	B01
658	64	3754	3	E02
659	25	2687	2	A08
660	49	3482	5	D02
661	47	1283	2	D01
662	10	1611	2	D06
663	83	442	4	D08
664	16	2398	2	E06
665	84	2104	4	D01
666	72	4384	2	B01
667	81	2944	1	D06
668	68	3199	5	D09
669	46	3842	5	E03
670	77	3170	4	D07
671	49	4921	4	B05
672	74	2499	5	E03
673	97	1229	2	E08
674	1	3007	5	A05
675	58	280	2	D10
676	43	3625	1	A05
677	22	353	3	E04
678	14	1369	4	D01
679	95	3017	3	E02
680	41	3298	5	A04
681	77	3327	1	D06
682	74	126	1	E02
683	87	3602	5	B09
684	38	3426	4	D01
685	55	610	1	E06
686	7	1954	1	B06
687	26	702	4	B06
688	63	3722	3	D07
689	92	1768	4	B05
690	81	3705	1	D03
691	24	1846	5	B01
692	97	336	5	B06
693	54	461	4	D05
694	57	1831	1	A01
695	67	3900	1	E04
696	61	2043	2	A06
697	27	4039	5	B01
698	57	1656	5	B05
699	45	2949	4	B07
700	28	4741	4	D06
701	21	1635	4	E04
702	96	1885	1	D06
703	17	4573	4	D05
704	43	4136	3	B10
705	56	3464	2	B01
706	81	3110	2	B03
707	9	3076	5	A08
708	37	3839	5	E05
709	45	2726	2	D04
710	25	4024	1	A07
711	57	4830	3	A04
712	90	3634	4	D07
713	67	3675	4	E04
714	50	1891	1	E01
715	57	4256	4	B09
716	10	2429	2	A10
717	85	4946	2	B06
718	33	4407	2	A05
719	25	3251	5	A01
720	70	1841	5	E05
721	85	4979	2	A01
722	3	290	2	B05
723	41	348	2	E02
724	91	119	5	A01
725	22	569	2	D10
726	81	1806	3	E04
727	25	1828	2	D08
728	52	1796	5	B01
729	99	3353	2	D07
730	70	2230	2	A08
731	77	3343	3	B08
732	55	907	2	A01
733	75	2252	4	A09
734	39	1900	4	E07
735	54	1533	5	A10
736	74	2712	4	A01
737	68	720	1	E05
738	62	3036	2	B04
739	27	4951	3	D04
740	63	4111	4	B09
741	91	4338	1	E02
742	80	4622	1	E01
743	19	3535	1	B03
744	21	608	2	A06
745	20	3294	2	E09
746	52	3358	2	B10
747	56	3398	4	D05
748	13	2056	3	E07
749	23	4744	1	E09
750	14	2984	1	D04
751	12	3282	3	B08
752	69	2503	3	E06
753	23	4449	4	D01
754	59	20	3	A01
755	26	1121	4	D08
756	11	2895	2	A03
757	26	997	2	E08
758	85	4508	2	A10
759	3	831	2	E06
760	11	2879	4	E02
761	54	4976	1	A03
762	19	1808	5	D05
763	76	184	4	A05
764	100	4255	3	A07
765	54	1595	2	A02
766	6	4649	1	A07
767	71	4639	5	B06
768	41	1235	5	B04
769	87	3560	1	A07
770	97	459	3	A07
771	42	1618	5	A08
772	77	3100	3	A03
773	50	1702	2	A09
774	92	3903	1	E08
775	1	608	4	E08
776	30	4245	1	E10
777	26	4666	4	B06
778	24	1156	2	D02
779	86	53	3	D06
780	35	123	2	D01
781	32	4548	4	D09
782	70	4156	1	E04
783	1	4759	2	A03
784	44	488	1	E03
785	92	4462	4	B02
786	76	403	1	B03
787	35	3203	2	B03
788	76	1050	2	B09
789	10	4143	2	A10
790	14	103	3	E08
791	98	4849	5	A08
792	20	443	2	E04
793	27	3871	3	D02
794	3	2917	3	E10
795	24	1622	3	A07
796	88	717	5	A04
797	29	3623	3	D08
798	4	1030	3	D05
799	13	4269	4	D05
800	76	749	3	B04
801	11	4852	2	A04
802	5	563	5	D10
803	64	3399	3	E07
804	79	4708	5	D01
805	69	3061	4	D02
806	40	963	4	E01
807	65	2889	1	D07
808	83	1735	1	E06
809	27	3320	2	E07
810	67	4783	2	A04
811	33	361	1	B09
812	39	2427	2	E04
813	17	1600	2	A08
814	75	2351	4	D01
815	10	229	4	D01
816	91	58	5	D07
817	90	1799	1	A10
818	1	313	2	D06
819	70	4317	1	E03
820	38	503	2	B01
821	45	3867	2	B01
822	51	1978	3	B08
823	100	1073	1	E02
824	44	867	4	E10
825	76	4234	1	A06
826	65	230	1	A03
827	96	784	4	E06
828	55	2296	5	E06
829	95	307	1	B03
830	91	1999	1	A03
831	80	2215	3	B06
832	60	2026	5	D08
833	59	3245	2	B01
834	25	1895	3	B08
835	93	1499	4	A10
836	35	4707	4	E08
837	28	1967	2	B04
838	58	615	3	E06
839	97	2206	1	A09
840	10	4282	4	D01
841	42	2653	1	D07
842	66	1362	3	D02
843	48	1562	5	B06
844	61	4511	2	B01
845	28	858	1	E04
846	63	1443	5	E08
847	41	1784	3	A01
848	51	1569	2	D01
849	6	2451	5	E02
850	79	4913	1	D08
851	44	1135	2	B01
852	65	3454	2	A10
853	56	2473	3	A09
854	12	3986	3	A09
855	63	3785	2	E09
856	75	1432	2	E02
857	30	306	5	B08
858	81	3393	1	B04
859	50	4876	5	E09
860	36	4646	2	A09
861	1	4778	3	E03
862	51	2952	4	A04
863	46	877	5	A06
864	37	2788	4	D06
865	67	1208	2	D01
866	77	2187	3	E10
867	38	571	3	E01
868	74	2540	2	A05
869	67	3893	4	A08
870	20	4969	3	D10
871	9	489	1	B06
872	20	163	1	A10
873	50	1899	5	A02
874	71	771	4	B07
875	72	3862	1	E10
876	57	4399	5	D01
877	56	41	4	E10
878	42	3954	4	B05
879	32	3868	4	A01
880	12	592	2	A01
881	8	4909	1	E06
882	35	1761	5	B07
883	80	3708	3	D10
884	79	355	5	E07
885	59	3389	1	A03
886	68	967	4	B10
887	50	3497	5	B06
888	20	2034	3	E01
889	88	4705	4	A03
890	7	2028	5	E08
891	59	2276	3	E02
892	85	4267	3	A05
893	5	3528	2	E09
894	28	2944	3	E10
895	48	4089	4	E01
896	63	4416	4	D02
897	36	1418	1	B01
898	23	4582	1	E04
899	75	2553	2	D04
900	94	677	3	D02
901	38	2848	1	A04
902	59	4165	4	A03
903	95	3449	1	B03
904	12	2948	5	B02
905	11	1654	5	A04
906	79	4439	3	B05
907	18	1887	4	B04
908	26	793	2	A01
909	34	533	3	D09
910	98	1845	1	E09
911	81	3989	3	A05
912	53	704	4	D08
913	77	840	3	E06
914	85	2465	3	A01
915	79	2004	2	E04
916	76	4658	5	A03
917	88	4404	3	D07
918	23	1317	4	E02
919	63	4609	2	A02
920	13	1299	4	D10
921	59	3456	5	E10
922	81	1657	3	B04
923	29	2823	5	E02
924	9	955	4	D02
925	13	3081	5	D10
926	77	1625	3	D08
927	15	949	4	D08
928	10	266	1	B05
929	11	4744	4	B07
930	5	1078	3	B08
931	55	3124	3	A06
932	8	475	1	E09
933	12	1655	3	A10
934	27	4528	3	D10
935	13	4181	4	D10
936	74	139	3	B01
937	58	2147	2	B01
938	39	803	3	A05
939	63	4928	2	B03
940	37	2727	5	B04
941	74	2897	4	B07
942	11	2937	2	D02
943	53	2927	2	E06
944	68	255	3	A06
945	94	2268	3	E08
946	17	3160	2	B08
947	89	3668	2	E01
948	11	4297	5	D07
949	84	3926	1	D05
950	11	20	5	B03
951	64	2945	4	A03
952	38	1031	5	B08
953	92	2506	3	A06
954	99	4211	3	B09
955	64	3225	4	E08
956	25	3055	2	D10
957	12	75	4	D07
958	83	2225	5	B01
959	28	2429	4	E06
960	11	2161	4	B09
961	14	208	4	E10
962	24	5	2	E06
963	84	1981	2	E04
964	44	3038	2	A05
965	9	2467	2	D01
966	75	1899	5	D05
967	81	2230	4	D03
968	99	1029	4	A04
969	71	2506	3	D10
970	56	2026	2	A03
971	79	2719	5	B08
972	96	777	1	E02
973	37	4247	5	E02
974	72	3432	1	E10
975	71	4116	4	A10
976	10	4845	4	E02
977	53	2852	2	B07
978	33	975	5	E03
979	15	2099	5	A07
980	25	987	2	A10
981	2	4509	4	E10
982	51	2123	4	A01
983	25	447	2	E10
984	81	927	3	D01
985	99	3981	3	B06
986	94	4005	5	A01
987	43	3624	1	E02
988	14	3708	5	E06
989	23	4951	4	B05
990	97	3051	2	A03
991	67	3504	3	E02
992	99	4458	5	B06
993	69	4436	5	A07
994	71	797	5	D05
995	75	3481	3	E09
996	100	1965	1	D05
997	34	367	2	D07
998	2	4375	4	D05
999	71	1587	3	B07
1000	91	3087	5	A09
